pry_1-13-arabic-language.pdf	pry_1	Primary 1	Arabic Language	https://lmis.nerdcportals.com.ng/pry_1/necurrdc/13.pdf
pry_2-01-english-studies.pdf	pry_2	Primary 2	English Studies	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/1.pdf
pry_2-02-mathematics.pdf	pry_2	Primary 2	Mathematics	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/2.pdf
pry_2-03-hausa-language.pdf	pry_2	Primary 2	Hausa Language	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/3.pdf
pry_2-04-igbo-language.pdf	pry_2	Primary 2	Igbo Language	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/4.pdf
pry_2-05-yoruba-language.pdf	pry_2	Primary 2	Yoruba Language	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/5.pdf
pry_2-06-basic-science.pdf	pry_2	Primary 2	Basic Science	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/6.pdf
pry_2-07-physical-and-health-education.pdf	pry_2	Primary 2	Physical and Health Education	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/7.pdf
pry_2-08-christian-religious-studies.pdf	pry_2	Primary 2	Christian Religious Studies	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/8.pdf
pry_2-09-islamic-studies.pdf	pry_2	Primary 2	Islamic Studies	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/9.pdf
pry_2-10-nigerian-history.pdf	pry_2	Primary 2	Nigerian History	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/10.pdf
pry_2-11-social-and-citizenship-studies.pdf	pry_2	Primary 2	Social and Citizenship Studies	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/11.pdf
pry_2-12-cultural-and-creative-arts-cca.pdf	pry_2	Primary 2	Cultural and Creative Arts (CCA)	https://lmis.nerdcportals.com.ng/pry_2/necurrdc/12.pdf
pry_4-01-english-studies.pdf	pry_4	Primary 4	English Studies	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/1.pdf
pry_4-02-mathematics.pdf	pry_4	Primary 4	Mathematics	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/2.pdf
pry_4-03-hausa-language.pdf	pry_4	Primary 4	Hausa Language	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/3.pdf
pry_4-04-igbo-language.pdf	pry_4	Primary 4	Igbo Language	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/4.pdf
pry_4-05-yoruba-language.pdf	pry_4	Primary 4	Yoruba Language	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/5.pdf
pry_4-06-basic-science-and-technology.pdf	pry_4	Primary 4	Basic Science and Technology	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/6.pdf
pry_4-07-physical-and-health-education.pdf	pry_4	Primary 4	Physical and Health Education	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/7.pdf
pry_4-08-christian-religious-studies.pdf	pry_4	Primary 4	Christian Religious Studies	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/8.pdf
pry_4-09-islamic-studies.pdf	pry_4	Primary 4	Islamic Studies	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/9.pdf
pry_4-10-nigerian-history.pdf	pry_4	Primary 4	Nigerian History	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/10.pdf
pry_4-11-social-and-citizenship-studies.pdf	pry_4	Primary 4	Social and Citizenship Studies	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/11.pdf
pry_4-12-cultural-and-creative-arts-cca.pdf	pry_4	Primary 4	Cultural and Creative Arts (CCA)	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/12.pdf
pry_4-13-arabic-language.pdf	pry_4	Primary 4	Arabic Language	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/13.pdf
pry_4-14-basic-digital-literacy.pdf	pry_4	Primary 4	Basic Digital Literacy	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/14.pdf
pry_4-15-pre-vocational-studies.pdf	pry_4	Primary 4	Pre-vocational Studies	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/15.pdf
pry_4-16-french.pdf	pry_4	Primary 4	French	https://lmis.nerdcportals.com.ng/pry_4/necurrdc/16.pdf
pry_5-01-english-studies.pdf	pry_5	Primary 5	English Studies	https://lmis.nerdcportals.com.ng/pry_5/necurrdc/1.pdf
pry_5-02-hausa-language.pdf	pry_5	Primary 5	Hausa Language	https://lmis.nerdcportals.com.ng/pry_5/necurrdc/3.pdf
pry_5-03-yoruba-language.pdf	pry_5	Primary 5	Yoruba Language	https://lmis.nerdcportals.com.ng/pry_5/necurrdc/5.pdf
pry_5-04-physical-and-health-education.pdf	pry_5	Primary 5	Physical and Health Education	https://lmis.nerdcportals.com.ng/pry_5/necurrdc/7.pdf
pry_5-05-christian-religious-studies.pdf	pry_5	Primary 5	Christian Religious Studies	https://lmis.nerdcportals.com.ng/pry_5/necurrdc/8.pdf
pry_5-06-islamic-studies.pdf	pry_5	Primary 5	Islamic Studies	https://lmis.nerdcportals.com.ng/pry_5/necurrdc/9.pdf
pry_5-07-nigerian-history.pdf	pry_5	Primary 5	Nigerian History	https://lmis.nerdcportals.com.ng/pry_5/necurrdc/10.pdf
